,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
970,Tae Guk Gi: The Brotherhood of War,2004,,8.1,64.0,37237,1.11
971,The Visitor,2007,,7.6,79.0,41112,9.42
972,Nine Queens,2000,,7.9,80.0,48585,1.22
973,The Chorus,2004,,7.9,56.0,55983,3.64
974,Kind Hearts and Coronets,1949,,8.0,,33635,
975,G.O.R.A.,2004,,8.0,,54866,
976,Airlift,2016,,8.0,,51629,
977,Sherlock Jr.,1924,,8.2,,39196,0.98
978,Drishyam,2013,,8.3,,29518,
979,No Man's Land,2001,,7.9,84.0,43842,1.06
980,Hiroshima Mon Amour,1959,,7.9,,27243,0.09
981,Vampire Hunter D: Bloodlust,2000,,7.7,62.0,28454,0.15
982,The Killer,1989,,7.8,82.0,44837,
983,A Night at the Opera,1935,,7.9,,29914,2.54
984,Central Station,1998,,8.0,80.0,35211,5.6
985,The Secret of Kells,2009,,7.6,81.0,30282,0.69
986,Vicky Donor,2012,,7.8,,38568,0.17
987,The Muppet Christmas Carol,1992,,7.7,64.0,46256,27.28
988,Zelig,1983,,7.7,,39046,11.8
989,Knockin' on Heaven's Door,1997,,8.0,,26877,0.0
990,Adam's Apples,2005,,7.8,51.0,44310,0.0
991,La Grande Illusion,1937,,8.1,,33063,0.17
992,Joyeux Noel,2005,,7.7,70.0,27060,1.05
993,English Vinglish,2012,,7.8,,32574,1.67
994,The Edge of Heaven,2007,,7.8,85.0,30233,0.74
995,Le Dîner de Cons,1998,,7.7,73.0,36479,4.07
996,C.R.A.Z.Y.,2005,,7.9,81.0,31133,
997,The Breath,2009,,8.0,,31120,
998,And Now for Something Completely Different,1971,,7.6,,28344,
999,Vizontele,2001,,8.0,,32102,
